Handle,Title,Body (HTML),Do not UPLOAD,Plating,Tags,Stone,Size,Variant Price,Category,Vendor,barcode,,,,,,,,
E-H3214925 Sterling Silver,E-H3214,925 Sterling Silver Hoop dia:10mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,Hoop dia:10mm,36,Ring,Gemnel,23970493,,,,,,,,
E-S1966925 Sterling Silver,E-S1966,925 Sterling Silver Inner Diameter 9mm and Butterfly 11mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,Inner Diameter 9mm and Butterfly 11mm,29,Earrings,Gemnel,24003261,,,,,,,,
E-S1114925 Sterling Silver,E-S1114,925 Sterling Silver / 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,/,28,Earrings,Gemnel,24036029,,,,,,,,
E-H1067925 Sterling Silver,E-H1067,925 Sterling Silver Outside diameter 10.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,Outside diameter 10.5mm,48,Earrings,Gemnel,24068797,,,,,,,,
B-R5089925 Sterling Silver,B-R5089,925 Sterling Silver Measurements: 12.7 x 6.5 mm Length: 16cm+4cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,Measurements: 12.7 x 6.5 mm Length: 16cm+4cm,34,Bracelet,Gemnel,24134333,,,,,,,,
N-E5177925 Sterling Silver,N-E5177,925 Sterling Silver Pendant：10mm x 10mm Chain Length: 40+5 cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,Pendant：10mm x 10mm Chain Length: 40+5 cm,38,Necklace,Gemnel,,,,,,,,,
E-S2611925 Sterling Silver,E-S2611,925 Sterling Silver 12mm high 4.8mm wide stone 3mm * 5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",zircon,12mm high 4.8mm wide stone 3mm * 5mm,31,Earrings,Gemnel,24429245,,,,,,,,
N-E1553925 Sterling Silver,N-E1553,925 Sterling Silver Padlock 16*9mm Chain Length: 40+5 cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,Padlock 16*9mm Chain Length: 40+5 cm,38,Necklace,Gemnel,24462013,,,,,,,,
B-R0054925 Sterling Silver,B-R0054,925 Sterling Silver Pendant diameter: 12 mm Length: 16cm+4cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,Pendant diameter: 12 mm Length: 16cm+4cm,42,Bracelet,Gemnel,24494781,,,,,,,,
E-H1073925 Sterling Silver,E-H1073,925 Sterling Silver 2mm Opal and Inner Diameter 8mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,2mm Opal and Inner Diameter 8mm,49,Earrings,Gemnel,24527549,,,,,,,,
